,STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,estruct,Earnings structure,ecase,Earnings case,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag),geo_3letter
157258,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU15,European Union - 15 countries (1995-2004),2017,,38381.01,,,,,,
157259,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU15,European Union - 15 countries (1995-2004),2018,,39219.27,,,,,,
157260,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU15,European Union - 15 countries (1995-2004),2019,,40120.4,,,,,,
157264,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2016,,33203.14,,,,,,
157265,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2017,,33795.51,,,,,,
157266,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2018,,34723.7,,,,,,
157267,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2019,,35679.48,,,,,,
157268,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2020,,35857.31,,,,,,
157269,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2021,,37279.89,,,,,,
157270,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2022,,39649.78,,,,,,
157271,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2023,,42190.55,,,,,,
157272,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2024,,44464.98,,,,,,
157276,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU28,European Union - 28 countries (2013-2020),2016,,34393.97,,,,,,
157277,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU28,European Union - 28 countries (2013-2020),2017,,35111.27,,,,,,
157278,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU28,European Union - 28 countries (2013-2020),2018,,36025.52,,,,,,
157279,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,EU28,European Union - 28 countries (2013-2020),2019,,37048.45,,,,,,
157296,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FI,Finland,2016,,35828.46,,,,,,FIN
157297,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FI,Finland,2017,,36682.41,,,,,,FIN
157298,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FI,Finland,2018,,37210.73,,,,,,FIN
157299,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FI,Finland,2019,,37883.77,,,,,,FIN
157300,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FI,Finland,2020,,39012.98,,,,,,FIN
157301,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FI,Finland,2021,,40007.05,,,,,,FIN
157302,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FI,Finland,2022,,41251.69,,,,,,FIN
157303,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FI,Finland,2023,,43157.24,,,,,,FIN
157304,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FI,Finland,2024,,43835.34,,,,,,FIN
157321,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FR,France,2016,,36855.72,,,,,,FRA
157322,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FR,France,2017,,36827.86,,,,,,FRA
157323,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FR,France,2018,,37426.41,,,,,,FRA
157324,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FR,France,2019,,38121.61,,,,,,FRA
157325,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FR,France,2020,,37172.11,,,,,,FRA
157326,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FR,France,2021,,38413.34,,,,,,FRA
157327,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FR,France,2022,,41324.79,,,,,,FRA
157328,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FR,France,2023,,43137.04,,,,,,FRA
157329,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,FR,France,2024,,44295.24,,,,,,FRA
157333,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HR,Croatia,2016,,18859.15,,,,,,HRV
157334,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HR,Croatia,2017,,19541.99,,,,,,HRV
157335,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HR,Croatia,2018,,20052.47,,,,,,HRV
157336,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HR,Croatia,2019,,20483.73,,,,,,HRV
157337,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HR,Croatia,2020,,21480.35,,,,,,HRV
157338,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HR,Croatia,2021,,23525.01,,,,,,HRV
157339,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HR,Croatia,2022,,24446.35,,,,,,HRV
157340,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HR,Croatia,2023,,26812.98,,,,,,HRV
157341,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HR,Croatia,2024,,29440.56,,,,,,HRV
157358,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HU,Hungary,2016,,19108.54,,,,,,HUN
157359,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HU,Hungary,2017,,20329.38,,,,,,HUN
157360,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HU,Hungary,2018,,21742.99,,,,,,HUN
157361,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HU,Hungary,2019,,23273.12,,,,,,HUN
157362,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HU,Hungary,2020,,24067.62,,,,,,HUN
157363,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HU,Hungary,2021,,24678.8,,,,,,HUN
157364,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HU,Hungary,2022,,26465.79,,,,,,HUN
157365,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HU,Hungary,2023,,28737.41,,,,,,HUN
157366,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,HU,Hungary,2024,,32470.41,,,,,,HUN
157383,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IE,Ireland,2016,,37395.52,,,,,,IRL
157384,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IE,Ireland,2017,,37516.44,,,,,,IRL
157385,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IE,Ireland,2018,,38062.12,,,,,,IRL
157386,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IE,Ireland,2019,,40960.42,,,,,,IRL
157387,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IE,Ireland,2020,,40054.31,,,,,,IRL
157388,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IE,Ireland,2021,,42250.53,,,,,,IRL
157389,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IE,Ireland,2022,,43382.9,,,,,,IRL
157390,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IE,Ireland,2023,,46613.47,,,,,,IRL
157391,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IE,Ireland,2024,,48907.47,,,,,,IRL
157408,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IS,Iceland,2016,,43076.6,,,,,,ISL
157409,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IS,Iceland,2017,,44850.41,,,,,,ISL
157410,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IS,Iceland,2018,,45053.09,,,,,,ISL
157411,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IS,Iceland,2019,,45398.69,,,,,,ISL
157412,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IS,Iceland,2020,,47928.49,,,,,,ISL
157413,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IS,Iceland,2021,,48787.96,,,,,,ISL
157414,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IS,Iceland,2022,,50720.9,,,,,,ISL
157415,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IS,Iceland,2023,,53488.07,,,,,,ISL
157416,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IS,Iceland,2024,,56615.35,,,,,,ISL
157433,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IT,Italy,2016,,29661.55,,,,,,ITA
157434,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IT,Italy,2017,,30057.12,,,,,,ITA
157435,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IT,Italy,2018,,30376.84,,,,,,ITA
157436,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IT,Italy,2019,,31205.92,,,,,,ITA
157437,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IT,Italy,2020,,31858.24,,,,,,ITA
157438,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IT,Italy,2021,,32799.16,,,,,,ITA
157439,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IT,Italy,2022,,33944.29,,,,,,ITA
157440,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IT,Italy,2023,,35432.21,,,,,,ITA
157441,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,IT,Italy,2024,,36793.11,,,,,,ITA
157458,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,JP,Japan,2016,,41671.1,,,,,,
157459,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,JP,Japan,2017,,41143.02,,,,,,
157460,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,JP,Japan,2018,,41507.97,,,,,,
157461,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,JP,Japan,2019,,39540.75,,,,,,
157462,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,JP,Japan,2020,,39049.19,,,,,,
157463,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,JP,Japan,2021,,39689.73,,,,,,
157464,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,JP,Japan,2022,,41575.85,,,,,,
157465,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,JP,Japan,2023,,43669.03,,,,,,
157466,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,JP,Japan,2024,,45045.92,,,,,,
157483,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LT,Lithuania,2016,,18266.68,,,,,,LTU
157484,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LT,Lithuania,2017,,19630.04,,,,,,LTU
157485,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LT,Lithuania,2018,,20988.19,,,,,,LTU
157486,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LT,Lithuania,2019,,23152.08,,,,,,LTU
157487,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LT,Lithuania,2020,,24570.42,,,,,,LTU
157488,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LT,Lithuania,2021,,26362.71,,,,,,LTU
157489,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LT,Lithuania,2022,,27127.85,,,,,,LTU
157490,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LT,Lithuania,2023,,29297.91,,,,,,LTU
157491,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LT,Lithuania,2024,,31698.36,,,,,,LTU
157508,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LU,Luxembourg,2016,,45218.24,,,,,,LUX
157509,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LU,Luxembourg,2017,,47133.48,,,,,,LUX
157510,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LU,Luxembourg,2018,,48801.34,,,,,,LUX
157511,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LU,Luxembourg,2019,,47673.7,,,,,,LUX
157512,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LU,Luxembourg,2020,,47980.86,,,,,,LUX
157513,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LU,Luxembourg,2021,,48185.29,,,,,,LUX
157514,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LU,Luxembourg,2022,,50613.82,,,,,,LUX
157515,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LU,Luxembourg,2023,,54539.98,,,,,,LUX
157516,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LU,Luxembourg,2024,,56295.6,,,,,,LUX
157533,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LV,Latvia,2016,,15953.22,,,,,,LVA
157534,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LV,Latvia,2017,,17087.1,,,,,,LVA
157535,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LV,Latvia,2018,,18438.26,,,,,,LVA
157536,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LV,Latvia,2019,,19489.81,,,,,,LVA
157537,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LV,Latvia,2020,,20578.68,,,,,,LVA
157538,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LV,Latvia,2021,,24082.71,,,,,,LVA
157539,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LV,Latvia,2022,,24195.28,,,,,,LVA
157540,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LV,Latvia,2023,,26417.6,,,,,,LVA
157541,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,LV,Latvia,2024,,28902.57,,,,,,LVA
157553,dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,PPS,Purchasing Power Standard,NET,Net earning,P1_NCH_AW167,Single person without children earning 167% of the average earning,MT,Malta,2016,,32972.55,,,,,,MLT
